cylinders_8,cylinders_4,cylinders_6,cylinders_3,cylinders_5,displacement,horsepower,weight,acceleration,model_70,model_71,model_72,model_73,model_74,model_75,model_76,model_77,model_78,model_79,model_80,model_81,model_82,origin_1,origin_3,origin_2,class
1,0,0,0,0,307,130,3504,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,350,165,3693,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,318,150,3436,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,304,150,3433,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,302,140,3449,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
1,0,0,0,0,429,198,4341,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,454,220,4354,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,440,215,4312,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,455,225,4425,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,390,190,3850,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,383,170,3563,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,340,160,3609,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,400,150,3761,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,455,225,3086,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
0,1,0,0,0,113,95,2372,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24
0,0,1,0,0,198,95,2833,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
0,0,1,0,0,199,97,2774,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,200,85,2587,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
0,1,0,0,0,97,88,2130,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
0,1,0,0,0,97,46,1835,20.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,110,87,2672,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,107,90,2430,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
0,1,0,0,0,104,95,2375,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,121,113,2234,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
0,0,1,0,0,199,90,2648,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
1,0,0,0,0,360,215,4615,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
1,0,0,0,0,307,200,4376,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
1,0,0,0,0,318,210,4382,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
1,0,0,0,0,304,193,4732,18.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
0,1,0,0,0,97,88,2130,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
0,1,0,0,0,140,90,2264,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28
0,1,0,0,0,113,95,2228,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
0,1,0,0,0,98,0,2046,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25
0,0,1,0,0,232,100,2634,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,225,105,3439,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
0,0,1,0,0,250,100,3329,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
0,0,1,0,0,250,88,3302,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,232,100,3288,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,350,165,4209,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,400,175,4464,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,351,153,4154,13.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,318,150,4096,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,383,180,4955,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
1,0,0,0,0,400,170,4746,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,400,175,5140,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
0,0,1,0,0,258,110,2962,13.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
0,1,0,0,0,140,72,2408,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
0,0,1,0,0,250,100,3282,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,250,88,3139,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
0,1,0,0,0,122,86,2220,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
0,1,0,0,0,116,90,2123,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28
0,1,0,0,0,79,70,2074,19.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
0,1,0,0,0,88,76,2065,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
0,1,0,0,0,71,65,1773,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31
0,1,0,0,0,72,69,1613,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35
0,1,0,0,0,97,60,1834,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
0,1,0,0,0,91,70,1955,20.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
0,1,0,0,0,113,95,2278,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24
0,1,0,0,0,97.5,80,2126,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25
0,1,0,0,0,97,54,2254,23.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23
0,1,0,0,0,140,90,2408,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20
0,1,0,0,0,122,86,2226,16.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,21
1,0,0,0,0,350,165,4274,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,400,175,4385,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,318,150,4135,13.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,351,153,4129,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,304,150,3672,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17
1,0,0,0,0,429,208,4633,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11
1,0,0,0,0,350,155,4502,13.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,350,160,4456,13.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
1,0,0,0,0,400,190,4422,12.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13
0,0,0,1,0,70,97,2330,13.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19
1,0,0,0,0,304,150,3892,12.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,307,130,4098,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,302,140,4294,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,318,150,4077,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14
0,1,0,0,0,121,112,2933,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18
0,1,0,0,0,121,76,2511,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22
0,1,0,0,0,120,87,2979,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21
0,1,0,0,0,96,69,2189,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,122,86,2395,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22
0,1,0,0,0,97,92,2288,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28
0,1,0,0,0,120,97,2506,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23
0,1,0,0,0,98,80,2164,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,28
0,1,0,0,0,97,88,2100,16.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27
1,0,0,0,0,350,175,4100,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,304,150,3672,11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,350,145,3988,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,302,137,4042,14.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,318,150,3777,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,429,198,4952,11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12
1,0,0,0,0,400,150,4464,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,351,158,4363,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,318,150,4237,14.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,440,215,4735,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,455,225,4951,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12
1,0,0,0,0,360,175,3821,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
0,0,1,0,0,225,105,3121,16.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,250,100,3278,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16
0,0,1,0,0,232,100,2945,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,250,88,3021,16.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,198,95,2904,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23
0,1,0,0,0,97,46,1950,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26
1,0,0,0,0,400,150,4997,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11
1,0,0,0,0,400,167,4906,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12
1,0,0,0,0,360,170,4654,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,350,180,4499,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12
0,0,1,0,0,232,100,2789,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18
0,1,0,0,0,97,88,2279,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20
0,1,0,0,0,140,72,2401,19.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21
0,1,0,0,0,108,94,2379,16.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22
0,0,0,1,0,70,90,2124,13.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18
0,1,0,0,0,122,85,2310,18.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,155,107,2472,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21
0,1,0,0,0,98,90,2265,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26
1,0,0,0,0,350,145,4082,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,400,230,4278,9.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16
0,1,0,0,0,68,49,1867,19.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29
0,1,0,0,0,116,75,2158,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24
0,1,0,0,0,114,91,2582,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20
0,1,0,0,0,121,112,2868,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19
1,0,0,0,0,318,150,3399,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15
0,1,0,0,0,121,110,2660,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24
0,0,1,0,0,156,122,2807,13.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20
1,0,0,0,0,350,180,3664,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11
0,0,1,0,0,198,95,3102,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20
0,0,1,0,0,200,0,2875,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21
0,0,1,0,0,232,100,2901,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,250,100,3336,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15
0,1,0,0,0,79,67,1950,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,31
0,1,0,0,0,122,80,2451,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26
0,1,0,0,0,71,65,1836,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32
0,1,0,0,0,140,75,2542,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25
0,0,1,0,0,250,100,3781,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16
0,0,1,0,0,258,110,3632,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16
0,0,1,0,0,225,105,3613,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,302,140,4141,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,350,150,4699,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,318,150,4457,13.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,302,140,4638,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,304,150,4257,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14
0,1,0,0,0,98,83,2219,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,29
0,1,0,0,0,79,67,1963,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,97,78,2300,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,76,52,1649,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,31
0,1,0,0,0,83,61,2003,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32
0,1,0,0,0,90,75,2125,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28
0,1,0,0,0,90,75,2108,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24
0,1,0,0,0,116,75,2246,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,120,97,2489,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24
0,1,0,0,0,108,93,2391,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26
0,1,0,0,0,79,67,2000,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31
0,0,1,0,0,225,95,3264,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19
0,0,1,0,0,250,105,3459,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,250,72,3432,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
0,0,1,0,0,250,72,3158,19.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,400,170,4668,11.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,350,145,4440,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,318,150,4498,14.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,351,148,4657,13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14
0,0,1,0,0,231,110,3907,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17
0,0,1,0,0,250,105,3897,18.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16
0,0,1,0,0,258,110,3730,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
0,0,1,0,0,225,95,3785,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,231,110,3039,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21
1,0,0,0,0,262,110,3221,13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20
1,0,0,0,0,302,129,3169,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13
0,1,0,0,0,97,75,2171,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29
0,1,0,0,0,140,83,2639,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23
0,0,1,0,0,232,100,2914,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20
0,1,0,0,0,140,78,2592,18.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23
0,1,0,0,0,134,96,2702,13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24
0,1,0,0,0,90,71,2223,16.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,119,97,2545,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24
0,0,1,0,0,171,97,2984,14.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18
0,1,0,0,0,90,70,1937,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29
0,0,1,0,0,232,90,3211,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19
0,1,0,0,0,115,95,2694,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23
0,1,0,0,0,120,88,2957,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23
0,1,0,0,0,121,98,2945,14.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22
0,1,0,0,0,121,115,2671,13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,91,53,1795,17.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,33
0,1,0,0,0,107,86,2464,15.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28
0,1,0,0,0,116,81,2220,16.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,140,92,2572,14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25
0,1,0,0,0,98,79,2255,17.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26
0,1,0,0,0,101,83,2202,15.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27
1,0,0,0,0,305,140,4215,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.5
1,0,0,0,0,318,150,4190,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,304,120,3962,13.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.5
1,0,0,0,0,351,152,4215,12.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14.5
0,0,1,0,0,225,100,3233,15.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22
0,0,1,0,0,250,105,3353,14.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22
0,0,1,0,0,200,81,3012,17.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24
0,0,1,0,0,232,90,3085,17.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.5
0,1,0,0,0,85,52,2035,22.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,29
0,1,0,0,0,98,60,2164,22.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.5
0,1,0,0,0,90,70,1937,14.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29
0,1,0,0,0,91,53,1795,17.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33
