cylinders_8,cylinders_4,cylinders_6,cylinders_3,cylinders_5,displacement,horsepower,weight,acceleration,model_70,model_71,model_72,model_73,model_74,model_75,model_76,model_77,model_78,model_79,model_80,model_81,model_82,origin_1,origin_3,origin_2,class
0,0,1,0,0,225,100,3651,17.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20
0,0,1,0,0,250,78,3574,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,250,110,3645,16.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18.5
0,0,1,0,0,258,95,3193,17.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.5
0,1,0,0,0,97,71,1825,12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29.5
0,1,0,0,0,85,70,1990,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32
0,1,0,0,0,97,75,2155,16.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28
0,1,0,0,0,140,72,2565,13.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.5
0,1,0,0,0,130,102,3150,15.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20
1,0,0,0,0,318,150,3940,13.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13
0,1,0,0,0,120,88,3270,21.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19
0,0,1,0,0,156,108,2930,15.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19
0,0,1,0,0,168,120,3820,16.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.5
1,0,0,0,0,350,180,4380,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.5
1,0,0,0,0,350,145,4055,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,302,130,3870,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13
1,0,0,0,0,318,150,3755,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13
0,1,0,0,0,98,68,2045,18.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31.5
0,1,0,0,0,111,80,2155,14.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30
0,1,0,0,0,79,58,1825,18.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,36
0,1,0,0,0,122,96,2300,15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.5
0,1,0,0,0,85,70,1945,16.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33.5
1,0,0,0,0,305,145,3880,12.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17.5
1,0,0,0,0,260,110,4060,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17
1,0,0,0,0,318,145,4140,13.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.5
1,0,0,0,0,302,130,4295,14.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15
0,0,1,0,0,250,110,3520,16.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17.5
0,0,1,0,0,231,105,3425,16.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20.5
0,0,1,0,0,225,100,3630,17.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19
0,0,1,0,0,250,98,3525,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18.5
1,0,0,0,0,400,180,4220,11.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16
1,0,0,0,0,350,170,4165,11.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.5
1,0,0,0,0,400,190,4325,12.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.5
1,0,0,0,0,351,149,4335,14.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16
0,1,0,0,0,97,78,1940,14.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29
0,1,0,0,0,151,88,2740,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24.5
0,1,0,0,0,97,75,2265,18.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26
0,1,0,0,0,140,89,2755,15.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.5
0,1,0,0,0,98,63,2051,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30.5
0,1,0,0,0,98,83,2075,15.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33.5
0,1,0,0,0,97,67,1985,16.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30
0,1,0,0,0,97,78,2190,14.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.5
0,0,1,0,0,146,97,2815,14.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,22
0,1,0,0,0,121,110,2600,12.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21.5
0,0,0,1,0,80,110,2720,13.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21.5
0,1,0,0,0,90,48,1985,21.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,43.1
0,1,0,0,0,98,66,1800,14.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,36.1
0,1,0,0,0,78,52,1985,19.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,32.8
0,1,0,0,0,85,70,2070,18.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39.4
0,1,0,0,0,91,60,1800,16.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36.1
1,0,0,0,0,260,110,3365,15.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.9
1,0,0,0,0,318,140,3735,13.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.4
1,0,0,0,0,302,139,3570,12.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.2
0,0,1,0,0,231,105,3535,19.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.2
0,0,1,0,0,200,95,3155,18.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.5
0,0,1,0,0,200,85,2965,15.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.2
0,1,0,0,0,140,88,2720,15.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25.1
0,0,1,0,0,225,100,3430,17.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.5
0,0,1,0,0,232,90,3210,17.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.4
0,0,1,0,0,231,105,3380,15.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.6
0,0,1,0,0,200,85,3070,16.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.8
0,0,1,0,0,225,110,3620,18.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18.6
0,0,1,0,0,258,120,3410,15.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18.1
1,0,0,0,0,305,145,3425,13.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.2
0,0,1,0,0,231,165,3445,13.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17.7
1,0,0,0,0,302,139,3205,11.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18.1
1,0,0,0,0,318,140,4080,13.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17.5
0,1,0,0,0,98,68,2155,16.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30
0,1,0,0,0,134,95,2560,14.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27.5
0,1,0,0,0,119,97,2300,14.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27.2
0,1,0,0,0,105,75,2230,14.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.9
0,1,0,0,0,134,95,2515,14.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21.1
0,1,0,0,0,156,105,2745,16.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23.2
0,1,0,0,0,151,85,2855,17.6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23.8
0,1,0,0,0,119,97,2405,14.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23.9
0,0,0,0,1,131,103,2830,15.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.3
0,0,1,0,0,163,125,3140,13.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17
0,1,0,0,0,121,115,2795,15.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21.6
0,0,1,0,0,163,133,3410,15.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16.2
0,1,0,0,0,89,71,1990,14.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31.5
0,1,0,0,0,98,68,2135,16.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,29.5
0,0,1,0,0,231,115,3245,15.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21.5
0,0,1,0,0,200,85,2990,18.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.8
0,1,0,0,0,140,88,2890,17.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.3
0,0,1,0,0,232,90,3265,18.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.2
0,0,1,0,0,225,110,3360,16.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.6
1,0,0,0,0,305,130,3840,15.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17
1,0,0,0,0,302,129,3725,13.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17.6
1,0,0,0,0,351,138,3955,13.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16.5
1,0,0,0,0,318,135,3830,15.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.2
1,0,0,0,0,350,155,4360,14.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16.9
1,0,0,0,0,351,142,4054,14.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15.5
1,0,0,0,0,267,125,3605,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.2
1,0,0,0,0,360,150,3940,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.5
0,1,0,0,0,89,71,1925,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31.9
0,1,0,0,0,86,65,1975,15.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34.1
0,1,0,0,0,98,80,1915,14.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35.7
0,1,0,0,0,121,80,2670,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27.4
0,0,0,0,1,183,77,3530,20.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25.4
1,0,0,0,0,350,125,3900,17.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23
0,1,0,0,0,141,71,3190,24.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27.2
1,0,0,0,0,260,90,3420,22.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.9
0,1,0,0,0,105,70,2200,13.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34.2
0,1,0,0,0,105,70,2150,14.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34.5
0,1,0,0,0,85,65,2020,19.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,31.8
0,1,0,0,0,91,69,2130,14.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37.3
0,1,0,0,0,151,90,2670,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28.4
0,0,1,0,0,173,115,2595,11.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28.8
0,0,1,0,0,173,115,2700,12.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,26.8
0,1,0,0,0,151,90,2556,13.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33.5
0,1,0,0,0,98,76,2144,14.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,41.5
0,1,0,0,0,89,60,1968,18.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38.1
0,1,0,0,0,98,70,2120,15.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32.1
0,1,0,0,0,86,65,2019,16.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,37.2
0,1,0,0,0,151,90,2678,16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,28
0,1,0,0,0,140,88,2870,18.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26.4
0,1,0,0,0,151,90,3003,20.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24.3
0,0,1,0,0,225,90,3381,18.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19.1
0,1,0,0,0,97,78,2188,15.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34.3
0,1,0,0,0,134,90,2711,15.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29.8
0,1,0,0,0,120,75,2542,17.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31.3
0,1,0,0,0,119,92,2434,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,37
0,1,0,0,0,108,75,2265,15.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,32.2
0,1,0,0,0,86,65,2110,17.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,46.6
0,1,0,0,0,156,105,2800,14.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27.9
0,1,0,0,0,85,65,2110,19.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,40.8
0,1,0,0,0,90,48,2085,21.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,44.3
0,1,0,0,0,90,48,2335,23.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,43.4
0,0,0,0,1,121,67,2950,19.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.4
0,1,0,0,0,146,67,3250,21.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30
0,1,0,0,0,91,67,1850,13.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,44.6
0,1,0,0,0,85,0,1835,17.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40.9
0,1,0,0,0,97,67,2145,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33.8
0,1,0,0,0,89,62,1845,15.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29.8
0,0,1,0,0,168,132,2910,11.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,32.7
0,0,0,1,0,70,100,2420,12.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23.7
0,1,0,0,0,122,88,2500,15.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35
0,1,0,0,0,140,0,2905,14.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23.6
0,1,0,0,0,107,72,2290,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,32.4
0,1,0,0,0,135,84,2490,15.7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,27.2
0,1,0,0,0,151,84,2635,16.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.6
0,1,0,0,0,156,92,2620,14.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25.8
0,0,1,0,0,173,110,2725,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23.5
0,1,0,0,0,135,84,2385,12.9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30
0,1,0,0,0,79,58,1755,16.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,39.1
0,1,0,0,0,86,64,1875,16.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,39
0,1,0,0,0,81,60,1760,16.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,35.1
0,1,0,0,0,97,67,2065,17.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,32.3
0,1,0,0,0,85,65,1975,19.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37
0,1,0,0,0,89,62,2050,17.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.7
0,1,0,0,0,91,68,1985,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,34.1
0,1,0,0,0,105,63,2215,14.9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34.7
0,1,0,0,0,98,65,2045,16.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34.4
0,1,0,0,0,98,65,2380,20.7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,29.9
0,1,0,0,0,105,74,2190,14.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33
0,1,0,0,0,100,0,2320,15.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34.5
0,1,0,0,0,107,75,2210,14.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,33.7
0,1,0,0,0,108,75,2350,16.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,32.4
0,1,0,0,0,119,100,2615,14.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,32.9
0,1,0,0,0,120,74,2635,18.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,31.6
0,1,0,0,0,141,80,3230,20.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28.1
0,0,1,0,0,145,76,3160,19.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30.7
0,0,1,0,0,168,116,2900,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25.4
0,0,1,0,0,146,120,2930,13.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24.2
0,0,1,0,0,231,110,3415,15.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22.4
1,0,0,0,0,350,105,3725,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.6
0,0,1,0,0,200,88,3060,17.1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20.2
0,0,1,0,0,225,85,3465,16.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17.6
0,1,0,0,0,112,88,2605,19.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28
0,1,0,0,0,112,88,2640,18.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,27
0,1,0,0,0,112,88,2395,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,34
0,1,0,0,0,112,85,2575,16.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,31
0,1,0,0,0,135,84,2525,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,29
0,1,0,0,0,151,90,2735,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,27
0,1,0,0,0,140,92,2865,16.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24
0,1,0,0,0,151,0,3035,20.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23
0,1,0,0,0,105,74,1980,15.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36
0,1,0,0,0,91,68,2025,18.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,37
0,1,0,0,0,91,68,1970,17.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,31
0,1,0,0,0,105,63,2125,14.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,38
0,1,0,0,0,98,70,2125,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36
0,1,0,0,0,120,88,2160,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36
0,1,0,0,0,107,75,2205,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36
0,1,0,0,0,108,70,2245,16.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34
0,1,0,0,0,91,67,1965,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,38
0,1,0,0,0,91,67,1965,15.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32
0,1,0,0,0,91,67,1995,16.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,38
0,0,1,0,0,181,110,2945,16.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25
0,0,1,0,0,262,85,3015,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,38
0,1,0,0,0,156,92,2585,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26
0,0,1,0,0,232,112,2835,14.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22
0,1,0,0,0,144,96,2665,13.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32
0,1,0,0,0,135,84,2370,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36
0,1,0,0,0,151,90,2950,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,27
0,1,0,0,0,140,86,2790,15.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,27
0,1,0,0,0,97,52,2130,24.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44
0,1,0,0,0,135,84,2295,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32
0,1,0,0,0,120,79,2625,18.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28
0,1,0,0,0,119,82,2720,19.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,31